# Data catalog: 8600486 objects, total weight: 8600486
# Random catalog: 8618303 objects, total weight: 8618303
# Box size: [6000, 6000, 6000]
# Box boundaries: [[-3954.69,2045.31], [-3106.79,2893.21], [-2077.4,3922.6]]
# Grid size: 512 , assignment scheme: TSC , grid interlacing: disabled
# Shot noise: 1201.421678 , normalisation: 161.147603 
# kcen(1) kmin(2) kmax(3) kavg(4) nmod(5) P_0(6) P_2(7) P_4(8)
0.1725 0.172 0.173 0.1725016928 324950 2513.541921 1218.805765 183.4896136
0.1735 0.173 0.174 0.1734985666 327930 2451.967613 1213.157404 209.524506
0.1745 0.174 0.175 0.1745010841 336194 2423.795599 1203.562791 182.0034904
0.1755 0.175 0.176 0.1755025812 335390 2398.833553 1215.108166 184.7797084
0.1765 0.176 0.177 0.1764978004 339066 2373.36569 1168.289845 243.4675021
0.1775 0.177 0.178 0.1774974962 346388 2405.841561 1078.540912 213.908638
0.1785 0.178 0.179 0.1784998309 348798 2392.193667 1040.865855 253.3279171
0.1795 0.179 0.18 0.179499303 351770 2350.494857 1030.697177 222.7142084
0.1805 0.18 0.181 0.1805013336 358938 2319.461136 1042.016131 177.011691
0.1815 0.181 0.182 0.1815027313 359174 2286.216345 1032.985953 151.1210433
0.1825 0.182 0.183 0.1825010524 364290 2256.4832 996.0656064 162.9441052
0.1835 0.183 0.184 0.1835017251 369242 2264.891435 968.2479886 130.4965673
0.1845 0.184 0.185 0.1845007885 371142 2229.793633 928.7857323 150.2046011
0.1855 0.185 0.186 0.1854999661 376970 2217.69508 915.5163164 94.92683389
0.1865 0.186 0.187 0.1865006748 380954 2179.837534 905.9973725 107.5396526
0.1875 0.187 0.188 0.1875024323 385830 2147.885507 896.118871 111.8945438
0.1885 0.188 0.189 0.1885037147 388370 2139.417089 836.0995318 124.2179457
0.1895 0.189 0.19 0.1895015312 392010 2143.656845 800.0955528 124.9088079
0.1905 0.19 0.191 0.1904983736 395534 2098.664906 801.5835409 160.4044346
0.1915 0.191 0.192 0.1914973759 401706 2080.354794 817.898271 122.0867799
0.1925 0.192 0.193 0.1925008655 408266 2037.140305 811.3515994 121.9878387
0.1935 0.193 0.194 0.1935006234 406734 2031.932584 805.5100047 122.9027662
0.1945 0.194 0.195 0.1945000913 416306 2035.908067 781.6167259 125.6787174
0.1955 0.195 0.196 0.195503028 418610 1997.637427 757.599054 157.9851443
0.1965 0.196 0.197 0.1965007691 420114 1995.62058 744.0936036 157.6417438
0.1975 0.197 0.198 0.1975001968 428654 1993.762435 730.8273578 147.5742247
0.1985 0.198 0.199 0.1985005885 429954 1968.305973 734.6584012 154.7552358
0.1995 0.199 0.2 0.199499951 436052 1933.975601 733.5358595 143.5286373
0.2005 0.2 0.201 0.2005003125 439566 1948.051848 707.4605751 145.8800275
0.2015 0.201 0.202 0.2014997711 444458 1924.944902 697.0480212 120.0702731
0.2025 0.202 0.203 0.2025008676 449226 1905.651057 689.7308887 144.8704887
0.2035 0.203 0.204 0.2035023649 454118 1899.461275 677.8537063 131.543095
0.2045 0.204 0.205 0.2045031565 457490 1879.819128 642.1780856 163.3418379
0.2055 0.205 0.206 0.2054999986 459186 1871.99967 628.374402 138.5304916
0.2065 0.206 0.207 0.2064968956 466790 1841.570528 634.1900044 168.1172577
0.2075 0.207 0.208 0.2074987998 472722 1812.36821 644.4402776 171.3604516
0.2085 0.208 0.209 0.2085006921 475826 1820.913606 588.2126936 160.597804
0.2095 0.209 0.21 0.2095024113 481782 1804.608329 594.6165599 167.7478385
0.2105 0.21 0.211 0.210504384 485498 1763.629654 597.1665911 171.5009349
0.2115 0.211 0.212 0.2115036811 487986 1748.45254 627.430288 102.5155426
0.2125 0.212 0.213 0.2125031016 495230 1725.752542 628.9527839 117.4369257
0.2135 0.213 0.214 0.2134992822 493986 1715.73261 615.3000413 117.1081697
0.2145 0.214 0.215 0.2144988554 507602 1730.530603 569.9089911 113.7240465
0.2155 0.215 0.216 0.2155026683 508118 1719.976844 547.0171649 130.7258974
0.2165 0.216 0.217 0.2165020985 512298 1699.659599 553.3899781 120.7743592
0.2175 0.217 0.218 0.2175012064 517466 1673.758483 574.9052946 118.0104457
0.2185 0.218 0.219 0.2185019469 523398 1655.965025 580.170305 97.22259074
0.2195 0.219 0.22 0.2195008714 525122 1632.674964 560.9447943 94.82529875
0.2205 0.22 0.221 0.220498397 531570 1627.922911 562.4515791 97.19199448
0.2215 0.221 0.222 0.2214974382 536216 1594.849883 554.3698118 118.8075715
0.2225 0.222 0.223 0.222497987 543066 1583.266625 559.098842 94.98444063
0.2235 0.223 0.224 0.2235018779 549458 1569.522239 547.0098008 78.93716722
0.2245 0.224 0.225 0.2245029453 549854 1546.452325 544.0798207 90.41119484
0.2255 0.225 0.226 0.2255024365 557490 1533.891098 547.4762944 89.88545663
0.2265 0.226 0.227 0.226500886 558674 1524.991406 517.7709153 94.4713808
0.2275 0.227 0.228 0.2274993725 567342 1525.425838 491.2485564 101.8002652
0.2285 0.228 0.229 0.2285003926 571346 1508.212553 478.4534262 114.3003653
0.2295 0.229 0.23 0.2295003111 576522 1499.807438 489.8627167 97.82393386
0.2305 0.23 0.231 0.2305012766 582110 1474.631019 481.2333481 117.6112292
0.2315 0.231 0.232 0.2315021155 586866 1493.119287 460.9738572 94.59363456
0.2325 0.232 0.233 0.2325016057 590450 1463.283576 446.7773054 114.7192972
0.2335 0.233 0.234 0.2335010287 596858 1450.345912 467.5052859 76.93123456
0.2345 0.234 0.235 0.2345021205 603054 1430.122527 470.8870168 93.85835256
0.2355 0.235 0.236 0.2355004094 603506 1425.273319 451.7266361 81.67574977
0.2365 0.236 0.237 0.2364978823 612162 1413.631581 416.6144267 76.10453828
0.2375 0.237 0.238 0.2375005674 620606 1399.030642 423.5246705 93.29895904
0.2385 0.238 0.239 0.2385003395 618834 1374.999573 404.4018034 119.1953893
0.2395 0.239 0.24 0.2394980667 628130 1378.832785 380.7518765 94.61449876
0.2405 0.24 0.241 0.2405002921 635670 1355.967272 366.2123822 132.1648385
0.2415 0.241 0.242 0.2415012953 636626 1332.81991 379.4830433 117.0737054
0.2425 0.242 0.243 0.2425011469 644706 1305.57196 376.4461791 125.9901992
0.2435 0.243 0.244 0.2435005697 647246 1298.249926 369.4405983 116.3449435
0.2445 0.244 0.245 0.2444987159 652964 1291.64494 335.9044248 129.8233173
0.2455 0.245 0.246 0.2454983577 660282 1282.22814 332.0796573 138.6505977
0.2465 0.246 0.247 0.2464989712 665126 1269.58883 315.8372885 137.8676833
0.2475 0.247 0.248 0.2474996026 670698 1264.438009 314.4507795 121.4102487
0.2485 0.248 0.249 0.2485031071 680114 1248.956768 301.3278225 137.2661083
0.2495 0.249 0.25 0.2495047647 679278 1243.227535 316.2980744 103.5068476
0.2505 0.25 0.251 0.2505028512 685658 1230.513092 309.7051341 82.39038937
0.2515 0.251 0.252 0.2515012683 691026 1201.369158 336.3686537 73.33306828
0.2525 0.252 0.253 0.2524990304 695894 1199.8645 326.3423897 73.35506499
0.2535 0.253 0.254 0.2534988438 704402 1212.263866 296.7336833 77.8155891
0.2545 0.254 0.255 0.2545001511 709674 1209.916667 261.7450374 80.92034093
0.2555 0.255 0.256 0.2554986641 711398 1197.179621 270.6056133 84.06545702
0.2565 0.256 0.257 0.2564989511 722826 1186.412531 265.0103914 82.79875065
0.2575 0.257 0.258 0.2575019079 727346 1182.930438 252.5366917 78.81013258
0.2585 0.258 0.259 0.2585022941 729942 1179.349316 224.0872237 85.48748509
0.2595 0.259 0.26 0.2594999135 734354 1170.783889 214.6081799 74.45459106
0.2605 0.26 0.261 0.2605010767 747306 1154.540579 245.5390494 54.95967028
0.2615 0.261 0.262 0.2615022279 745214 1120.690421 266.2380565 39.12131601
0.2625 0.262 0.263 0.2625004089 754122 1109.970106 274.7463112 23.13736574
0.2635 0.263 0.264 0.2635018175 762098 1108.935053 245.346135 24.48390403
0.2645 0.264 0.265 0.2645017414 763118 1105.106445 230.46666 54.32657923
0.2655 0.265 0.266 0.2654980126 767706 1112.702038 208.7906657 58.17201351
0.2665 0.266 0.267 0.2664973518 780284 1107.349841 180.4081479 87.40733677
0.2675 0.267 0.268 0.2674994456 782982 1108.68612 181.028765 94.84694322
